
       instance   k  n_red   m_red     n       m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu   ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit  edges     time  time_pp  time_confirm_crit  time_color  iter      ttb  itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  536        1598         535               0         0           1     1  27895  7200.01  3803.42               7200     5672.85    93  3211.65   36             27     1.56941     1.58443          533           242             0      92          5.1413         11.6413              80321            31494       0            40             0    10
    4-FullIns_5   9   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   55        4146          92               1         1           1     1    525     7200  3522.68        5.22999e-07     3837.16   764  33.3546    1              1    0.187917     0.30791           87          1546             0     763         35.1389         8.47313             285713           223439       0             6             0     1
    4-FullIns_5   9   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   55        4146          90               1         1           1     1    525     7200  3405.01        3.91999e-07     3599.69   798  32.5454    1              1    0.187941    0.307688           85          1603             0     788         35.0482          8.3731             294988           230636       0             6             0     2
    4-FullIns_5   9   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   55        4146          87               1         1           1     1    525     7200  3461.17           3.34e-07     3732.96   781  30.4249    1              1    0.189746    0.310985           87          1575             0     780         35.1679         8.26923             290095           226255       0             6             0     3
    4-FullIns_5   9   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   55        4146          87               1         1           1     1    525  7200.01  3456.59           3.99e-07     3672.81   788  27.1117    1              1     0.19087      0.3135           87          1587             0     787         35.3558         8.33291             291420           226903       0             6             0     4
    4-FullIns_5   9   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   55        4146          88               1         1           1     1    525     7200  3432.76           3.13e-07     3673.31   786  28.4242    1              1    0.189996    0.311114           87          1584             0     785         35.0904          8.3121             291585           227431       0             6             0     5
    4-FullIns_5   9   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   55        4146          92               1         1           1     1    525     7200  3461.97           3.82e-07     3731.34   785  26.9111    1              1    0.191525    0.314096           87          1587             0     783         35.2401         8.23116             289351           225119       0             6             0     6
    4-FullIns_5   9   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   55        4146          89               1         1           1     1    525     7200  3432.11        4.03001e-07     3629.39   790  34.2363    1              1     0.19012    0.311793           87          1597             0     789          35.199         8.32826             292844           228251       0             6             0     7
    4-FullIns_5   9   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   55        4146          89               1         1           1     1    525  7200.01  3439.14           7.82e-07     3657.02   783  33.5769    1              1    0.188154    0.308117           87          1579             0     781         35.0973          8.4379             292215           228494       0             6             0     8
    4-FullIns_5   9   4146   77305  4146   77305            0.5                1                1               7200  200        1.08       1   55        4146          92               1         1           1     1    525     7200  3576.46           3.88e-07     3795.03   810  26.6603    1              1    0.188792     0.30995           87          1635             0     809         35.3201         8.33498             302126           235841       0             6             0     9
